OrderID,CustomerName,CustomerCity,RegionName,ShipToCity,BillToCity,OrderDate,OrderChannel,Status,Priority,OrderTotal,OrderNotes,OrderYear,CustomerID
ORD00005,Momentum Holdings,Berlin,Europe,Buenos Aires,Buenos Aires,2025-04-12,10,Shipped,Standard,8071.84,,2025,1021
ORD00007,Pioneer Holdings,Toronto,North America,Tokyo,Chicago,2025-03-23,30,Shipped,Express,11223.66,"Fragile items on this order, add extra padding and mark the box clearly.",2025,1058
ORD00008,Summit Commerce,Riyadh,Middle East,Dubai,London,2025-11-05,40,Delivered,Express,18761.36,,2025,1016
ORD00010,Beacon Group,Cairo,Middle East,Singapore,Singapore,2025-12-28,20,Delivered,Standard,6702.64,"Partial backorder is possible, keep the customer updated on remaining stock.",2025,1040
ORD00014,Evergreen Partners,Amsterdam,Europe,Cairo,Toronto,2025-12-13,20,Delivered,Express,2182.41,,2025,1035
ORD00017,Atlas Holdings,Madrid,Europe,Istanbul,Sydney,2025-12-06,10,Delivered,Express,12057.09,,2025,1056
ORD00019,Quantum Distribution,Berlin,Europe,Sao Paulo,Riyadh,2025-03-26,30,Delivered,Standard,7412.85,"Fragile items on this order, add extra padding and mark the box clearly.",2025,1052
ORD00020,Vanguard Holdings,Toronto,North America,New York,New York,2025-03-23,40,Delivered,Express,12442.74,,2025,1007
ORD00021,Vertex Supply,Chicago,North America,Madrid,Los Angeles,2025-02-13,10,Delivered,Express,1696.4,"VIP account, expedite handling and notify the account manager once it ships.",2025,1029
ORD00025,Keystone Commerce,Mumbai,Asia Pacific,Buenos Aires,Buenos Aires,2025-05-21,10,Delivered,Express,3367.5,"Fragile items on this order, add extra padding and mark the box clearly.",2025,1037
ORD00026,Orbit Holdings,Istanbul,Middle East,Toronto,Cairo,2025-07-10,20,Shipped,Standard,4781.84,,2025,1048
ORD00028,Pioneer Partners,Buenos Aires,Latin America,Dubai,London,2025-03-17,40,Delivered,Standard,7760.81,"Partial backorder is possible, keep the customer updated on remaining stock.",2025,1055
ORD00030,Meridian Commerce,Dubai,Middle East,Singapore,Singapore,2025-05-05,20,Delivered,Express,7254.16,Customer requested delivery before noon; confirm the slot by phone the day before.,2025,1015
ORD00034,Quantum Supply,Amsterdam,Europe,Cairo,Toronto,2025-02-26,20,Delivered,Standard,953.7,"Partial backorder is possible, keep the customer updated on remaining stock.",2025,1059
ORD00035,Momentum Group,Berlin,Europe,Berlin,Berlin,2025-10-18,30,Delivered,Express,727.47,,2025,1034
ORD00036,Evergreen Partners,Amsterdam,Europe,Mumbai,Amsterdam,2025-04-06,40,Delivered,Standard,9698.77,Customer requested delivery before noon; confirm the slot by phone the day before.,2025,1035
ORD00041,Pinnacle Commerce,London,Europe,Madrid,Los Angeles,2025-07-28,10,Delivered,Express,3884.28,,2025,1030
ORD00043,Summit Commerce,Riyadh,Middle East,Chicago,Tokyo,2025-05-25,30,Processing,Express,3410.34,"Fragile items on this order, add extra padding and mark the box clearly.",2025,1016
ORD00044,Summit Commerce,Riyadh,Middle East,Amsterdam,Mumbai,2025-06-13,40,Delivered,Standard,2526.1,,2025,1016
ORD00047,Pioneer Partners,Buenos Aires,Latin America,Tokyo,Chicago,2025-04-21,30,Delivered,Express,3637.35,,2025,1055
ORD00048,Zenith Holdings,Sydney,Asia Pacific,Dubai,London,2025-02-22,40,Delivered,Express,7709.68,Customer requested delivery before noon; confirm the slot by phone the day before.,2025,1026
ORD00050,Vertex Logistics,Istanbul,Middle East,Singapore,Singapore,2025-12-14,20,Delivered,Express,475.0,,2025,1024
ORD00051,Nova Retail,Sydney,Asia Pacific,Riyadh,Sao Paulo,2025-05-21,30,Delivered,Express,4411.86,"VIP account, expedite handling and notify the account manager once it ships.",2025,1003
ORD00052,Keystone Distribution,Madrid,Europe,London,Dubai,2025-12-02,40,Delivered,Express,2510.9,"Partial backorder is possible, keep the customer updated on remaining stock.",2025,1009
ORD00054,Horizon Supply,Madrid,Europe,Cairo,Toronto,2025-04-23,20,Shipped,Standard,12095.11,Customer requested delivery before noon; confirm the slot by phone the day before.,2025,1044
ORD00057,Catalyst Distribution,Sao Paulo,Latin America,Istanbul,Sydney,2025-07-15,10,Delivered,Express,6507.4,"VIP account, expedite handling and notify the account manager once it ships.",2025,1008
ORD00059,Vanguard Logistics,Los Angeles,North America,Sao Paulo,Riyadh,2025-11-29,30,Delivered,Standard,10298.68,,2025,1036
ORD00060,Evergreen Partners,Amsterdam,Europe,New York,New York,2025-12-29,40,Delivered,Express,10185.01,Customer requested delivery before noon; confirm the slot by phone the day before.,2025,1035
ORD00061,Summit Commerce,Riyadh,Middle East,Madrid,Los Angeles,2025-10-13,10,Processing,Express,2909.98,"Fragile items on this order, add extra padding and mark the box clearly.",2025,1016
ORD00062,Evergreen Group,Paris,Europe,Mexico City,Paris,2025-10-23,20,Delivered,Express,2108.46,,2025,1050
ORD00063,Cascade Retail,Cairo,Middle East,Chicago,Tokyo,2025-10-08,30,Delivered,Express,10290.89,"VIP account, expedite handling and notify the account manager once it ships.",2025,1060
ORD00064,Zenith Distribution,Paris,Europe,Amsterdam,Mumbai,2025-02-13,40,Delivered,Express,764.16,"Partial backorder is possible, keep the customer updated on remaining stock.",2025,1019
ORD00066,Summit Retail,Cairo,Middle East,Toronto,Cairo,2025-09-03,20,Shipped,Standard,3181.2,Customer requested delivery before noon; confirm the slot by phone the day before.,2025,1038
ORD00069,Catalyst Industries,Singapore,Asia Pacific,Los Angeles,Madrid,2025-04-02,10,Delivered,Standard,13570.42,"VIP account, expedite handling and notify the account manager once it ships.",2025,1004
ORD00070,Cascade Retail,Cairo,Middle East,Singapore,Singapore,2025-02-07,20,Delivered,Express,18911.31,"Partial backorder is possible, keep the customer updated on remaining stock.",2025,1060
ORD00072,Zenith Logistics,Amsterdam,Europe,London,Dubai,2025-07-17,40,Delivered,Express,7741.6,Customer requested delivery before noon; confirm the slot by phone the day before.,2025,1018
ORD00073,Orbit Holdings,Istanbul,Middle East,Sydney,Istanbul,2025-12-12,10,Delivered,Standard,9219.63,"Fragile items on this order, add extra padding and mark the box clearly.",2025,1048
ORD00075,Momentum Holdings,Berlin,Europe,Berlin,Berlin,2025-09-12,30,Delivered,Express,4375.08,"VIP account, expedite handling and notify the account manager once it ships.",2025,1021
ORD00077,Cascade Partners,Riyadh,Middle East,Istanbul,Sydney,2025-06-13,10,Processing,Express,10190.13,,2025,1020
ORD00078,Evergreen Supply,Mumbai,Asia Pacific,Paris,Mexico City,2025-05-01,20,Delivered,Standard,261.45,Customer requested delivery before noon; confirm the slot by phone the day before.,2025,1045
ORD00001,Quantum Distribution,Berlin,Europe,Madrid,Los Angeles,2026-09-12,10,Delivered,Express,9620.18,"Fragile items on this order, add extra padding and mark the box clearly.",2026,1052
ORD00002,Meridian Partners,Tokyo,Asia Pacific,Mexico City,Paris,2026-06-13,20,Delivered,Express,2576.55,,2026,1046
ORD00003,Horizon Logistics,Mexico City,Latin America,Chicago,Tokyo,2026-03-24,30,Shipped,Express,6742.06,"VIP account, expedite handling and notify the account manager once it ships.",2026,1054
ORD00004,Catalyst Industries,Singapore,Asia Pacific,Amsterdam,Mumbai,2026-02-10,40,Delivered,Standard,4547.12,"Partial backorder is possible, keep the customer updated on remaining stock.",2026,1004
ORD00006,Quantum Supply,Amsterdam,Europe,Toronto,Cairo,2026-04-29,20,Delivered,Express,1790.46,Customer requested delivery before noon; confirm the slot by phone the day before.,2026,1059
ORD00009,Zenith Group,Chicago,North America,Los Angeles,Madrid,2026-07-03,10,Delivered,Standard,7048.97,"VIP account, expedite handling and notify the account manager once it ships.",2026,1039
ORD00011,Momentum Group,Berlin,Europe,Riyadh,Sao Paulo,2026-07-12,30,Delivered,Express,13372.2,,2026,1034
ORD00012,Pinnacle Trading,Paris,Europe,London,Dubai,2026-01-18,40,Delivered,Standard,4298.35,Customer requested delivery before noon; confirm the slot by phone the day before.,2026,1025
ORD00013,Catalyst Partners,Istanbul,Middle East,Sydney,Istanbul,2026-10-06,10,Delivered,Express,6035.71,"Fragile items on this order, add extra padding and mark the box clearly.",2026,1043
ORD00015,Cascade Commerce,Amsterdam,Europe,Berlin,Berlin,2026-04-14,30,Delivered,Standard,11119.3,"VIP account, expedite handling and notify the account manager once it ships.",2026,1005
ORD00016,Meridian Supply,Buenos Aires,Latin America,Mumbai,Amsterdam,2026-02-12,40,Delivered,Standard,2307.97,"Partial backorder is possible, keep the customer updated on remaining stock.",2026,1033
ORD00018,Apex Commerce,Mumbai,Asia Pacific,Paris,Mexico City,2026-05-24,20,Processing,Express,9988.67,Customer requested delivery before noon; confirm the slot by phone the day before.,2026,1012
ORD00022,Catalyst Partners,Istanbul,Middle East,Mexico City,Paris,2026-10-15,20,Shipped,Standard,7450.5,"Partial backorder is possible, keep the customer updated on remaining stock.",2026,1043
ORD00023,Pioneer Partners,Buenos Aires,Latin America,Chicago,Tokyo,2026-09-15,30,Delivered,Standard,2849.56,,2026,1055
ORD00024,Pinnacle Trading,Paris,Europe,Amsterdam,Mumbai,2026-08-04,40,Delivered,Express,6701.82,Customer requested delivery before noon; confirm the slot by phone the day before.,2026,1025
ORD00027,Meridian Partners,Tokyo,Asia Pacific,Tokyo,Chicago,2026-04-02,30,Delivered,Express,6978.88,"VIP account, expedite handling and notify the account manager once it ships.",2026,1046
ORD00029,Cascade Commerce,Amsterdam,Europe,Los Angeles,Madrid,2026-07-18,10,Delivered,Standard,5318.76,,2026,1005
ORD00031,Keystone Commerce,Mumbai,Asia Pacific,Riyadh,Sao Paulo,2026-01-13,30,Delivered,Standard,7843.9,"Fragile items on this order, add extra padding and mark the box clearly.",2026,1037
ORD00032,Meridian Partners,Tokyo,Asia Pacific,London,Dubai,2026-05-06,40,Delivered,Standard,12442.12,,2026,1046
ORD00033,Cascade Commerce,Amsterdam,Europe,Sydney,Istanbul,2026-04-06,10,Delivered,Standard,5818.72,"VIP account, expedite handling and notify the account manager once it ships.",2026,1005
ORD00037,Pioneer Holdings,Toronto,North America,Istanbul,Sydney,2026-09-12,10,Delivered,Standard,6030.75,"Fragile items on this order, add extra padding and mark the box clearly.",2026,1058
ORD00038,Evergreen Group,Paris,Europe,Paris,Mexico City,2026-08-14,20,Delivered,Express,5883.94,,2026,1050
ORD00039,Keystone Partners,Tokyo,Asia Pacific,Sao Paulo,Riyadh,2026-10-05,30,Processing,Express,17770.86,"VIP account, expedite handling and notify the account manager once it ships.",2026,1057
ORD00040,Summit Commerce,Riyadh,Middle East,New York,New York,2026-02-20,40,Delivered,Standard,4904.6,"Partial backorder is possible, keep the customer updated on remaining stock.",2026,1016
ORD00042,Apex Group,Los Angeles,North America,Mexico City,Paris,2026-01-15,20,Delivered,Express,5522.08,Customer requested delivery before noon; confirm the slot by phone the day before.,2026,1049
ORD00045,Pinnacle Commerce,London,Europe,Buenos Aires,Buenos Aires,2026-05-26,10,Delivered,Express,10303.25,"VIP account, expedite handling and notify the account manager once it ships.",2026,1030
ORD00046,Pinnacle Distribution,Sydney,Asia Pacific,Toronto,Cairo,2026-08-21,20,Delivered,Express,4136.04,"Partial backorder is possible, keep the customer updated on remaining stock.",2026,1014
ORD00049,Vertex Supply,Chicago,North America,Los Angeles,Madrid,2026-07-18,10,Delivered,Standard,11664.84,"Fragile items on this order, add extra padding and mark the box clearly.",2026,1029
ORD00053,Horizon Logistics,Mexico City,Latin America,Sydney,Istanbul,2026-06-06,10,Delivered,Express,3556.39,,2026,1054
ORD00055,Cascade Group,Mexico City,Latin America,Berlin,Berlin,2026-08-16,30,Delivered,Express,3825.07,"Fragile items on this order, add extra padding and mark the box clearly.",2026,1017
ORD00056,Fusion Distribution,Sao Paulo,Latin America,Mumbai,Amsterdam,2026-09-27,40,Delivered,Standard,764.16,,2026,1047
ORD00058,Evergreen Group,Paris,Europe,Paris,Mexico City,2026-09-19,20,Delivered,Standard,6316.57,"Partial backorder is possible, keep the customer updated on remaining stock.",2026,1050
ORD00065,Fusion Logistics,Tokyo,Asia Pacific,Buenos Aires,Buenos Aires,2026-07-06,10,Delivered,Standard,7229.05,,2026,1013
ORD00067,Vanguard Holdings,Toronto,North America,Tokyo,Chicago,2026-02-28,30,Delivered,Standard,12408.14,"Fragile items on this order, add extra padding and mark the box clearly.",2026,1007
ORD00068,Nova Partners,New York,North America,Dubai,London,2026-10-31,40,Delivered,Express,7199.38,,2026,1027
ORD00071,Keystone Commerce,Mumbai,Asia Pacific,Riyadh,Sao Paulo,2026-09-10,30,Delivered,Express,1012.44,,2026,1037
ORD00074,Pioneer Holdings,Toronto,North America,Cairo,Toronto,2026-02-20,20,Delivered,Standard,11920.11,,2026,1058
ORD00076,Fusion Distribution,Sao Paulo,Latin America,Mumbai,Amsterdam,2026-08-10,40,Delivered,Standard,654.05,"Partial backorder is possible, keep the customer updated on remaining stock.",2026,1047
ORD00079,Vertex Distribution,Buenos Aires,Latin America,Sao Paulo,Riyadh,2026-04-11,30,Delivered,Express,2367.52,"Fragile items on this order, add extra padding and mark the box clearly.",2026,1010
ORD00080,Horizon Supply,Madrid,Europe,New York,New York,2026-09-03,40,Delivered,Express,2051.61,,2026,1044
